                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62986,                 3.4668,                0.87959,                0.63986,                 4.1312,                0.87504,                0.45344,                0.68392,                0.52635,                 0.3869,                0.99028,                 2.8554,                0.88534,                 1.0177,                 2.6335,                0.89454,                0.00012,                0.00012,                0.00012
                      2,                0.91346,                 1.7074,                0.97865,                0.92207,                 2.4358,                0.96536,                0.84726,                0.75641,                0.81961,                0.60753,                0.83349,                 1.0936,                0.90856,                0.81395,                 1.0801,                0.89631,             0.00025743,             0.00025743,             0.00025743
                      3,                0.65478,                0.69874,                0.91008,                 0.7152,                  1.092,                0.90387,                 0.0803,                0.60513,                0.06187,                0.04609,                 1.0577,                 706.03,                 2.4221,                 1.3525,                 167.45,                 2.2135,             0.00039208,             0.00039208,             0.00039208
                      4,                0.67862,                0.57146,                0.91031,                0.73856,                 0.8512,                0.91246,                0.00537,                0.11154,                  0.003,                0.00219,                 3.8689,                  79007,                 743.39,                 3.5475,             1.2313e+05,                 205.16,             0.00052396,             0.00052396,             0.00052396
                      5,                0.64825,                   0.62,                0.90042,                0.75271,                0.69807,                0.91346,                0.00086,                0.01795,                0.00044,                  9e-05,                 3.8501,                 4.9005,                 3.8617,                 4.8998,                 6123.7,                 5.4645,             0.00065307,             0.00065307,             0.00065307
                      6,                0.68552,                0.59329,                0.93867,                0.80595,                0.67128,                0.96887,                0.00086,                0.01795,                0.00044,                  9e-05,                 4.0643,                 14.584,                  9.528,                 6.2376,                 4083.1,                 7.6631,             0.00077941,             0.00077941,             0.00077941
                      7,                0.86072,                0.67959,                 0.9563,                0.97605,                0.74153,                0.98641,                0.00086,                0.01795,                0.00044,                  9e-05,                 3.2501,             1.4464e+05,                 323.72,                 6.1688,             2.1608e+05,                 160.05,             0.00090298,             0.00090298,             0.00090298
                      8,                0.81134,                0.58485,                0.95049,                0.88679,                0.61026,                0.96936,                0.00086,                0.01795,                0.00044,                  9e-05,                 2.3674,             3.0363e+07,                 6757.9,                 2.2672,             3.3537e+07,                 1584.8,              0.0010238,              0.0010238,              0.0010238
                      9,                0.82433,                0.61437,                0.95118,                0.93797,                0.67932,                0.98501,                0.00086,                0.01795,                0.00044,                  9e-05,                 2.5066,             7.4716e+07,                 8134.8,                0.93883,             8.7864e+06,                 653.55,              0.0011418,              0.0011418,              0.0011418
                     10,                 0.7506,                0.55326,                0.93751,                0.84237,                0.63974,                0.95928,                  6e-05,                0.00128,                  3e-05,                  1e-05,                 4.4961,                 874.94,                 84.965,                  2.717,                 14.579,                 9.0517,               0.001257,               0.001257,               0.001257
                     11,                0.75842,                0.70057,                0.95158,                0.88611,                0.65575,                0.98038,                0.00204,                0.04231,                0.00107,                0.00031,                 4.1039,                 7.6064,                 25.061,                  4.382,                 7.2336,                  14.73,              0.0013695,              0.0013695,              0.0013695
                     12,                0.80717,                0.72637,                 0.9389,                0.90938,                0.54917,                0.96444,                0.00167,                0.03462,                0.00215,                0.00029,                 4.1884,                 7.2367,                 42.894,                 4.7654,                 7.2224,                 37.082,              0.0014792,              0.0014792,              0.0014792
                     13,                0.84114,                0.60676,                0.97324,                0.93652,                0.53881,                0.98575,                0.00235,                0.04872,                0.00462,                0.00077,                 4.1711,                 6.5762,                 55.951,                 4.8144,                  8.541,                 39.071,              0.0015862,              0.0015862,              0.0015862
                     14,                 1.0214,                0.69202,                 1.0133,                 1.1983,                0.68956,                 1.0602,                0.34244,                0.15513,                0.13721,                0.06285,                 3.2041,                 2.4612,                 6.1752,                 2.9761,                 3.2123,                 3.2304,              0.0016903,              0.0016903,              0.0016903
                     15,                0.94751,                0.68635,                0.98436,                 1.0659,                0.65793,                 1.0122,                0.64356,                0.18974,                0.21564,                0.12103,                 2.6853,                 2.4181,                 5.2429,                 3.2516,                 2.8448,                 4.6321,              0.0017228,              0.0017228,              0.0017228
                     16,                 0.9921,                0.66302,                 1.0107,                 1.1336,                0.67228,                 1.0493,                0.00364,                0.07564,                0.00477,                 0.0012,                 3.2119,                  7.512,                 5.8446,                 4.2595,                 5.9661,                  7.102,              0.0017228,              0.0017228,              0.0017228
                     17,                0.94377,                0.62477,                  1.005,                 1.0552,                0.61174,                 1.0219,                0.00019,                0.00385,                  9e-05,                  2e-05,                 4.3548,                 9.9063,                 9.7431,                 4.1556,                 8.3269,                 7.5491,               0.001703,               0.001703,               0.001703
                     18,                0.88306,                0.61209,                 0.9876,                 1.0103,                0.57764,                 1.0112,                0.01877,                0.38974,                0.01319,                0.00375,                 3.9991,                 5.8659,                 6.3448,                 2.8385,                  4.041,                 3.7893,              0.0016832,              0.0016832,              0.0016832
