                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7969,                  4.836,                 4.2807,                      0,                      0,                      0,                      0,                 6.4763,                 4.2401,                 4.1622,                0.00012,                0.00012,                0.00012
                      2,                  5.971,                 4.7465,                 4.2073,                      0,                      0,                      0,                      0,                 6.4765,                 4.2412,                 4.1631,             0.00025743,             0.00025743,             0.00025743
                      3,                 5.5043,                 4.2134,                  4.051,                      0,                      0,                      0,                      0,                 6.4793,                 4.2508,                 4.1655,             0.00039208,             0.00039208,             0.00039208
                      4,                 4.7291,                 3.4361,                 3.9361,                      0,                      0,                      0,                      0,                 6.4839,                 4.2678,                 4.1772,             0.00052396,             0.00052396,             0.00052396
                      5,                 3.9237,                 2.8327,                 3.7926,                      0,                      0,                      0,                      0,                 6.4938,                 4.3108,                 4.2065,             0.00065307,             0.00065307,             0.00065307
                      6,                 3.4216,                 2.6778,                 3.4656,                      0,                      0,                      0,                      0,                 6.5058,                 4.3554,                 4.2465,             0.00077941,             0.00077941,             0.00077941
                      7,                 3.3355,                 2.4383,                  2.964,                      0,                      0,                      0,                      0,                 6.5187,                 4.3151,                 4.3027,             0.00090298,             0.00090298,             0.00090298
                      8,                 3.1511,                 2.1942,                 2.6037,                      0,                      0,                      0,                      0,                 6.5327,                 4.3596,                 4.3569,              0.0010238,              0.0010238,              0.0010238
                      9,                 2.9497,                 2.0927,                 2.4541,                      0,                      0,                      0,                      0,                 6.5302,                 4.3398,                 4.3605,              0.0011418,              0.0011418,              0.0011418
                     10,                  2.898,                  1.971,                 2.3772,                      0,                      0,                      0,                      0,                 6.5189,                  4.255,                 4.3311,               0.001257,               0.001257,               0.001257
                     11,                 2.7665,                 1.9497,                 2.2723,                      0,                      0,                      0,                      0,                 6.5168,                 4.3628,                 4.3311,              0.0013695,              0.0013695,              0.0013695
                     12,                 2.7017,                 1.8374,                 2.1919,                      0,                      0,                      0,                      0,                 6.4876,                 4.2661,                 4.2706,              0.0014792,              0.0014792,              0.0014792
                     13,                 2.5952,                 1.7507,                 2.1639,                      0,                      0,                      0,                      0,                 6.4723,                 4.0723,                 4.2672,              0.0015862,              0.0015862,              0.0015862
                     14,                  2.541,                 1.6787,                 2.0557,                0.00283,                0.01667,                0.00147,                0.00035,                 6.1875,                 4.0323,                 4.1165,              0.0016903,              0.0016903,              0.0016903
                     15,                 2.4802,                 1.5763,                 1.9584,                 0.0087,                0.05641,                0.02144,                0.00579,                 5.5265,                 3.7628,                 3.6991,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.4207,                  1.514,                 1.9279,                0.28526,                0.02179,                0.04295,                 0.0165,                 4.5002,                 3.2369,                 3.0441,               0.001703,               0.001703,               0.001703
                     17,                 2.4487,                 1.5815,                 1.9709,                0.33127,                0.02858,                0.05867,                0.02071,                 4.1838,                 3.0975,                 2.8674,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.3303,                 1.5505,                 1.8963,                0.47323,                0.13462,                0.15096,                0.04329,                 3.5539,                 2.4888,                 2.4972,              0.0016634,              0.0016634,              0.0016634
